ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,BOTUCATU,SAO MANUEL,1.0,99.41,0.59,0.0,92.9,7.1,0.0,86.27,9.78,3.96,BAURU
2013,BOTUCATU,CONCHAS,1.0,97.84,1.8,0.36,92.23,5.31,2.46,77.97,13.03,9.0,BAURU
2013,BOTUCATU,PRATANIA,1.0,0.0,0.0,0.0,95.77,3.44,0.79,91.16,8.43,0.4,BAURU
2013,BOTUCATU,ITATINGA,1.0,100.0,0.0,0.0,100.0,0.0,0.0,82.62,9.81,7.58,BAURU
2013,BOTUCATU,BOFETE,1.0,0.0,0.0,0.0,82.16,9.13,8.71,75.14,14.8,10.06,BAURU
2013,BOTUCATU,BOTUCATU,1.0,0.0,0.0,0.0,86.18,7.84,5.98,80.97,12.24,6.79,BAURU
2013,BOTUCATU,AREIOPOLIS,1.0,95.04,4.86,0.11,93.32,5.49,1.19,90.95,7.33,1.72,BAURU
2013,BOTUCATU,PARDINHO,1.0,92.86,6.09,1.05,89.74,5.68,4.59,67.89,24.08,8.03,BAURU
2013,BOTUCATU,ANHEMBI,1.0,97.65,1.76,0.59,94.04,4.64,1.32,81.63,12.24,6.12,BAURU
2013,BOTUCATU,CESARIO LANGE,1.0,92.17,7.83,0.0,90.7,9.03,0.27,78.45,7.13,14.41,BAURU
2013,BOTUCATU,QUADRA,1.0,91.12,8.88,0.0,96.9,1.94,1.16,85.23,5.68,9.09,BAURU
2013,BRAGANCA PAULISTA,ATIBAIA,1.0,99.67,0.33,0.0,93.54,3.79,2.67,79.4,11.76,8.84,CAMPINAS
2013,BRAGANCA PAULISTA,BRAGANCA PAULISTA,1.0,0.0,0.0,0.0,90.79,6.35,2.86,77.21,13.34,9.46,CAMPINAS
2013,BRAGANCA PAULISTA,MORUNGABA,1.0,98.67,1.33,0.0,0.0,0.0,0.0,79.96,8.79,11.25,CAMPINAS
2013,BRAGANCA PAULISTA,SOCORRO,1.0,99.65,0.35,0.0,98.13,1.87,0.0,89.62,4.49,5.89,CAMPINAS
2013,BRAGANCA PAULISTA,NAZARE PAULISTA,1.0,95.83,4.17,0.0,0.0,0.0,0.0,78.55,11.79,9.66,CAMPINAS
2013,BRAGANCA PAULISTA,PIRACAIA,1.0,100.0,0.0,0.0,96.9,3.1,0.0,86.39,7.0,6.61,CAMPINAS
2013,BRAGANCA PAULISTA,BOM JESUS DOS PERDOES,1.0,0.0,0.0,0.0,93.24,4.21,2.55,83.84,13.93,2.23,CAMPINAS
2013,BRAGANCA PAULISTA,PINHALZINHO,1.0,97.2,2.8,0.0,97.3,2.7,0.0,92.23,1.2,6.57,CAMPINAS
2013,BRAGANCA PAULISTA,TUIUTI,1.0,91.19,8.33,0.48,87.6,11.63,0.78,86.26,7.11,6.64,CAMPINAS
2013,BRAGANCA PAULISTA,VARGEM,1.0,84.8,15.2,0.0,86.02,13.98,0.0,77.69,10.0,12.31,CAMPINAS
2013,BRAGANCA PAULISTA,PEDRA BELA,1.0,90.0,10.0,0.0,92.7,5.54,1.76,92.98,1.24,5.79,CAMPINAS
2013,BRAGANCA PAULISTA,JOANOPOLIS,1.0,100.0,0.0,0.0,94.12,5.88,0.0,78.07,10.7,11.23,CAMPINAS
2013,CAIEIRAS,MAIRIPORA,1.0,98.9,1.1,0.0,97.43,2.57,0.0,92.87,4.05,3.08,CAMPINAS
2013,CAIEIRAS,CAIEIRAS,1.0,96.48,3.06,0.46,0.0,0.0,0.0,94.78,3.31,1.91,CAMPINAS
2013,CAIEIRAS,CAJAMAR,1.0,97.55,1.81,0.65,94.21,3.34,2.45,91.81,4.47,3.72,CAMPINAS
2013,CAIEIRAS,FRANCISCO MORATO,1.0,97.92,1.88,0.21,95.21,2.71,2.08,90.01,5.11,4.88,CAMPINAS
2013,CAIEIRAS,FRANCO DA ROCHA,1.0,98.91,0.63,0.45,95.83,2.83,1.33,90.3,5.14,4.57,CAMPINAS
2013,CAMPINAS LESTE,CAMPINAS,1.0,94.08,5.83,0.1,86.93,12.96,0.11,79.52,10.47,10.0,CAMPINAS
2013,CAMPINAS LESTE,JAGUARIUNA,1.0,100.0,0.0,0.0,100.0,0.0,0.0,85.96,12.46,1.57,CAMPINAS
2013,CAMPINAS OESTE,VALINHOS,1.0,99.14,0.86,0.0,96.5,3.5,0.0,87.83,6.42,5.75,CAMPINAS
2013,CAMPINAS OESTE,VINHEDO,1.0,99.11,0.89,0.0,97.92,2.08,0.0,85.3,6.02,8.69,CAMPINAS
2013,CAPIVARI,CAPIVARI,1.0,92.12,7.68,0.19,92.02,6.09,1.88,83.88,8.62,7.5,PIRACICABA
2013,CAPIVARI,INDAIATUBA,1.0,98.99,1.01,0.0,95.98,4.02,0.0,85.71,8.9,5.39,PIRACICABA
2013,CAPIVARI,MONTE MOR,1.0,98.58,1.42,0.0,98.67,1.33,0.0,84.72,8.92,6.36,PIRACICABA
2013,CAPIVARI,RAFARD,1.0,96.52,3.33,0.15,0.0,0.0,0.0,80.97,9.92,9.12,PIRACICABA
2013,CAPIVARI,RIO DAS PEDRAS,1.0,99.18,0.82,0.0,100.0,0.0,0.0,87.51,3.67,8.82,PIRACICABA
2013,CAPIVARI,ELIAS FAUSTO,1.0,97.55,2.37,0.08,93.54,5.57,0.89,85.12,10.01,4.86,PIRACICABA
2013,CAPIVARI,MOMBUCA,1.0,91.84,8.16,0.0,86.75,13.25,0.0,96.35,3.65,0.0,PIRACICABA
2013,CARAGUATATUBA,CARAGUATATUBA,1.0,97.58,2.29,0.13,95.47,4.43,0.1,96.64,3.13,0.23,VALE DO PARAIBA PAULISTA
